id,first_name,last_name,swimming_school_id,phone_num,empoyment_date,salary
1,Alexander,Lopez,23,+212435172526,2024-09-03,7200
2,Victoria,Smita,9,+10280390378,2013-04-04,5500
3,Emil,Taylor,36,+13560568375,1997-06-15,8300
4,Ethan,Hill,49,+42444760379,2021-11-20,7000
5,Oliver,Mitchell,5,+10478484132,2016-02-01,8200
6,Barbara,Stępiea,45,+12238343926,2019-01-20,5200
7,Jan,Walker,33,+42268636981,2019-08-06,10000
8,Clara,Wojciechowska,13,+42468717990,2018-04-13,7200
9,Daniel,Miller,28,+42043045420,2011-05-25,9000
10,Filip,Wilson,50,+12937745843,2015-05-25,7500
11,Karol,Grabowski,34,+42891990119,2023-10-12,9800
12,Sebastian,Marciniak,9,+65086537118,2008-10-25,5400
13,Julia,Dudea,23,+13644189724,2025-05-04,8600
14,Clara,Jankowska,20,+212422945610,2010-11-15,7800
15,Franciszek,Stępień,12,+11570861480,2014-11-23,6700
16,Damian,Perez,5,+12280776226,2019-12-24,6500
17,Theo,Kowalczyk,23,+13206500738,2023-09-03,9500
18,Igor,Zalewski,4,+65408657899,2001-01-08,9100
19,Mia,Jacksoa,49,+13603695037,2020-11-27,5900
20,Karol,Thompson,32,+13722633111,2016-09-18,8900
21,Lena,Parkea,34,+65530222069,2021-11-27,5700
22,Adam,Carter,48,+65160195218,2024-01-22,5900
23,Julia,Whita,24,+10869657176,2010-02-07,9000
24,Laura,Martinea,37,+48287455859,2007-10-11,7600
25,Ewa,Turnea,10,+13514133884,2023-06-10,5100
26,Maximilian,Lewis,19,+10696821083,2012-05-18,6200
27,Krzysztof,Green,48,+10396911620,2021-12-14,9100
28,Joanna,Kozłowska,39,+10852495255,2001-08-20,7700
29,Julia,Lea,17,+11315934455,2024-09-27,6200
30,Elena,Smita,3,+12421307185,2006-06-15,7700
31,Ethan,Kołodziej,19,+12841388540,2013-10-25,5500
32,Beata,Górska,48,+11354692996,2025-07-12,6100
33,Adrian,Kowalski,17,+10802469047,2010-10-06,9900
34,Noah,Zając,44,+12726534296,2022-01-18,7000
35,Alina,Bakea,24,+65406945515,2020-05-24,6800
36,Mateusz,Zalewski,25,+65511155132,2014-06-28,5600
37,Laura,Martinea,36,+11848914068,2021-06-11,10000
38,Sebastian,Rodriguez,50,+13044477257,2007-07-01,9900
39,Paweł,Taylor,8,+12630833466,2013-10-23,9900
40,Marta,Mazua,3,+48808048286,2016-11-30,8500
41,Stefan,Lewandowski,22,+42576394170,2025-08-08,5700
42,Petra,Andersoa,34,+212927142623,2025-07-06,8700
43,Łukasz,Kołodziej,46,+65566601513,2012-10-17,5500
44,Marta,Tayloa,28,+65208484650,2016-11-14,8800
45,Monika,Lewia,1,+13495696485,2024-04-24,6000
46,Antoni,Wójcik,36,+12419623334,2012-12-21,5900
47,Szymon,Piotrowski,44,+12686374482,2019-07-23,5500
48,Laura,Thomaa,36,+11894249834,1994-05-28,8900
49,Robert,Carter,19,+11379566070,2023-04-14,5900
50,Theo,Kwiatkowski,38,+12823472171,2024-06-27,9800
51,Elena,Kina,38,+10532084834,2015-07-15,9800
52,Adrian,Lopez,39,+10796474720,2017-05-22,9700
53,Agnieszka,Baraa,8,+212416402873,2023-02-13,9600
54,Patryk,Dudek,44,+13916238966,2024-06-21,9300
55,Zbigniew,Brown,50,+13008787100,2014-12-08,9300
56,Karol,Borkowski,18,+42776111556,2024-03-17,9600
57,Luna,Stępiea,19,+12206165412,2023-08-29,5500
58,Denis,Kwiatkowski,16,+212554064874,2023-08-15,7600
59,Isabella,Martinea,25,+10011703846,2005-03-09,9000
60,Adrian,Harris,33,+13245832948,2024-12-15,10000
61,Theo,Phillips,16,+11236541316,2014-11-11,5200
62,Szymon,Sanchez,11,+42736663688,2014-11-04,8600
63,Aleksandra,Majewska,30,+10900795400,2022-07-20,8300
64,Nina,Zalewska,22,+212516419145,2000-01-03,7400
65,Luna,Perea,5,+13333537619,2020-05-04,7400
66,Julia,Millea,31,+212649814818,2024-11-26,7600
67,Isabella,Perea,5,+11133280179,2022-04-10,9400
68,Aleksandra,Whita,49,+10277652836,2023-01-03,7000
69,Emma,Allea,22,+48676514417,2022-12-26,9000
70,Leon,Adams,15,+12078198270,2022-01-27,6400
71,Joanna,Lewia,46,+212250525015,2013-12-12,7000
72,Clara,Czarnecka,6,+13167163472,2009-03-05,5600
73,Marta,Hila,31,+65726537717,2024-06-13,5000
74,Clara,Wila,23,+65041039102,2022-03-08,8400
75,Piotr,Harris,41,+10097471188,2023-06-01,5200
76,Maximilian,Sokołowski,6,+48450610574,2020-10-26,6500
77,Zofia,Dudea,36,+48901005803,1992-01-26,6400
78,Nina,Borkowska,28,+11109962886,2024-06-23,8800
79,Bartosz,Sanchez,12,+48999165036,2025-09-25,6500
80,Maja,Nowaa,35,+48131294114,2000-08-15,6200
81,Victoria,Jankowska,29,+212383458016,2024-04-26,6600
82,Lucas,Phillips,46,+13947540272,2019-01-19,5300
83,Franciszek,Dudek,12,+65094198133,2011-02-27,6000
84,Dorota,Nowaa,18,+13388737361,2025-04-12,9400
85,Lucia,Olszewska,40,+65894228019,2021-01-06,10000
86,Theo,Turner,12,+11582421961,2015-03-26,6000
87,Karolina,Johnsoa,49,+42048541659,2025-03-17,8700
88,Paulina,Piotrowska,49,+212752576447,2022-06-08,6200
89,Marta,Nelsoa,4,+65127786802,2013-06-11,9700
90,Karol,Lis,33,+212414255747,2024-11-22,7700
91,Amelia,Zająa,49,+10944710383,2021-11-21,7500
92,Ava,Johnsoa,34,+65923051376,2023-07-04,10000
93,Franciszek,Piotrowski,7,+11422929387,2005-09-01,9300
94,Lucia,Millea,35,+13262083962,2019-09-11,5700
95,Julia,Perea,31,+48533071552,2023-04-28,6400
96,Henryk,Lee,13,+12094717264,2021-01-23,8100
97,Julia,Kina,25,+10305148812,2006-12-16,6400
98,Julian,Kołodziej,18,+42272059807,2019-02-13,8000
99,Monika,Cartea,40,+10610233872,2022-03-17,7500
100,Emil,Woźniak,15,+42240805424,2011-06-26,6700
101,Lucas,Borkowski,5,+212014758112,2021-03-23,9700
102,Hanna,Williama,44,+65746494427,2018-03-09,5200
103,Monika,Lewia,14,+10631961372,2016-03-31,8100
104,Monika,Hernandea,30,+12122390259,2019-12-12,5900
105,Robert,Scott,33,+65787455629,2023-03-07,7400
106,Anastasia,Thomaa,16,+65392754211,2015-12-04,7200
107,Paulina,Wilsoa,46,+212089507761,2024-05-12,7400
108,Sylwia,Mazua,3,+11421388755,2015-09-19,5400
109,Sophia,Grabowska,9,+10705244207,2001-11-22,8000
110,Helena,Jacksoa,39,+12789164373,2020-07-11,5100
111,Lena,Hila,1,+10539711197,2021-11-25,9800
112,Sara,Majewska,12,+48980002888,2021-12-31,6400
113,Klara,Grabowska,5,+212483311164,2019-08-14,8500
114,Ethan,Sawicki,23,+65716314000,2024-05-07,8100
115,Beata,Lea,9,+11217287829,2022-02-15,9600
116,Helena,Czarnecka,24,+48437191410,2012-06-28,5700
117,Karol,Mazur,42,+13467370098,2025-07-17,9900
118,Alexander,Scott,36,+11403831905,1996-08-04,9800
119,Adrian,Harris,19,+212629911537,2014-12-06,9800
120,Ingrid,Scott,28,+212938709096,2018-11-14,6900
121,Dorota,Grabowska,13,+12554979464,2007-06-30,8100
122,Maximilian,Olszewski,6,+42663899049,2022-07-27,7400
123,Franciszek,Parker,6,+10486288652,2021-01-23,7400
124,Anastasia,Rodriguea,19,+42665075458,2014-05-28,8900
125,Ingrid,Lewis,14,+13483372380,2019-09-01,7600
126,Liam,Martin,9,+48095657628,2024-09-13,7800
127,Luna,Stępiea,20,+48500373529,2021-12-01,7100
128,Anastasia,Williama,20,+65604450030,2010-12-11,8500
129,Dorota,Bakea,22,+212382059701,2020-10-17,8400
130,Irina,Urbaa,28,+10453296317,2013-05-29,5800
131,Victoria,Borkowska,41,+13895208722,2020-02-05,5500
132,Robert,Johnson,27,+212678847279,2011-08-25,6700
133,Oskar,Sikora,23,+12352308361,2021-02-01,5400
134,Beata,Garcia,37,+48540296026,2002-03-01,5900
135,Piotr,Thompson,27,+12848332755,2025-05-18,7800
136,Nina,Lopea,33,+212284112619,2020-02-05,6200
137,Katarzyna,Wila,27,+42978496382,2013-02-11,7000
138,Klara,Jankowska,39,+65266633359,1999-11-04,9200
139,Zofia,Zalewska,36,+48881692804,1998-12-12,9000
